AUTO BOOST/STRIP,POLK ST & ALICE B TOKLAS PL,5/15/2012 11:47 PM
VANDALISM,400 BLOCK BROADWAY,5/15/2012 11:27 PM
PERSON W/KNIFE,JONES ST & ELLIS ST,5/15/2012 11:27 PM
STRONGARM ROB.,700 BLOCK POLK ST,5/15/2012 11:12 PM
NOISE NUISANCE,200 BLOCK KEARNY ST,5/15/2012 11:02 PM
NOISE NUISANCE,1000 BLOCK TURK ST,5/15/2012 11:02 PM
STOLEN VEHICLE,CHESTNUT ST & MALLORCA WY,5/15/2012 10:20 PM
AUTO BOOST/STRIP,3RD ST & FOLSOM ST,5/15/2012 10:01 PM
PETTY THEFT,00 BLOCK CORDELIA ST,5/15/2012 09:52 PM
PETTY THEFT,700 BLOCK MARKET ST,5/15/2012 09:48 PM
PETTY THEFT,700 BLOCK VALLEJO ST,5/15/2012 09:47 PM
BURGLARY,100 BLOCK MARKET ST,5/15/2012 09:47 PM
NOISE NUISANCE,GREEN ST & COLUMBUS AV,5/15/2012 09:39 PM
STOLEN VEHICLE,600 BLOCK POST ST,5/15/2012 09:34 PM
IND EXPOSURE,00 BLOCK MALLORCA WY,5/15/2012 09:30 PM
AUTO BOOST/STRIP,100 BLOCK THE EMBARCADERO NOR,5/15/2012 09:24 PM
GRAND THEFT,STOCKTON ST & SACRAMENTO ST,5/15/2012 09:11 PM
IND EXPOSURE,00 BLOCK GUY PL,5/15/2012 08:58 PM
AUTO BOOST/STRIP,1000 BLOCK TURK ST,5/15/2012 08:29 PM
PETTY THEFT,800 BLOCK MARKET ST,5/15/2012 08:22 PM
PETTY THEFT,800 BLOCK MARKET ST,5/15/2012 08:19 PM
STOLEN VEHICLE,CLEMENT ST & 29TH AV,5/15/2012 07:50 PM
GRAND THEFT,00 BLOCK STOCKTON ST,5/15/2012 07:38 PM
PETTY THEFT,2200 BLOCK VAN NESS AV,5/15/2012 07:13 PM
AUTO BOOST/STRIP,5TH AV & CLEMENT ST,5/15/2012 07:04 PM
VANDALISM,MAPLE ST & WASHINGTON ST,5/15/2012 06:31 PM
FRAUD,1800 BLOCK CALIFORNIA ST,5/15/2012 06:30 PM
AUTO BOOST/STRIP,1000 BLOCK TURK ST,5/15/2012 06:10 PM
PETTY THEFT,500 BLOCK JONES ST,5/15/2012 06:10 PM
VANDALISM,1700 BLOCK TAYLOR ST,5/15/2012 06:09 PM
FRAUD,2000 BLOCK CALIFORNIA ST,5/15/2012 06:00 PM
ASSAULT/BATTERY,600 BLOCK MARKET ST,5/15/2012 05:57 PM
PETTY THEFT,700 BLOCK POST ST,5/15/2012 05:36 PM
AUTO BOOST/STRIP,700 BLOCK VAN NESS AV,5/15/2012 05:30 PM
PERSON WITH GUN,100 BLOCK GOLDEN GATE AV,5/15/2012 05:14 PM
VANDALISM,400 BLOCK ELLIS ST,5/15/2012 05:03 PM
PURSESNATCH,POWELL ST & ELLIS ST,5/15/2012 04:58 PM
ASSAULT/BATTERY,CALIFORNIA ST & HYDE ST,5/15/2012 04:52 PM
PETTY THEFT,00 BLOCK MCALLISTER ST,5/15/2012 04:32 PM
PETTY THEFT,4TH ST & MISSION ST,5/15/2012 04:26 PM
AUTO BOOST/STRIP,1000 BLOCK TURK ST,5/15/2012 04:20 PM
FRAUD,1100 BLOCK TURK ST,5/15/2012 04:18 PM
AUTO BOOST/STRIP,800 BLOCK VAN NESS AV,5/15/2012 04:18 PM
GRAND THEFT,00 BLOCK DRUMM ST,5/15/2012 04:12 PM
PETTY THEFT,2100 BLOCK CHESTNUT ST,5/15/2012 04:10 PM
ASSAULT/BATTERY,00 BLOCK FOLSOM ST,5/15/2012 04:08 PM
ASSAULT/BATTERY,STOCKTON ST & ELLIS ST,5/15/2012 04:07 PM
ASSAULT/BATTERY,500 BLOCK LARKIN ST,5/15/2012 03:59 PM
BURGLARY,2200 BLOCK LARKIN ST,5/15/2012 03:45 PM
VANDALISM,500 BLOCK LARKIN ST,5/15/2012 03:44 PM
BURGLARY,600 BLOCK 2ND ST,5/15/2012 03:42 PM
PETTY THEFT,800 BLOCK KEARNY ST,5/15/2012 03:40 PM
ASSAULT/BATTERY,900 BLOCK HYDE ST,5/15/2012 03:37 PM
ASSAULT/BATTERY,200 BLOCK TURK ST,5/15/2012 03:22 PM
BURGLARY,1700 BLOCK GREEN ST,5/15/2012 03:15 PM
NOISE NUISANCE,00 BLOCK MASON ST,5/15/2012 03:13 PM
AUTO BOOST/STRIP,SUTTER ST & STOCKTON ST,5/15/2012 02:51 PM
ASSAULT/BATTERY,900 BLOCK JACKSON ST,5/15/2012 02:45 PM
AGGR ASSAULT/ADW,300 BLOCK TAYLOR ST,5/15/2012 02:34 PM
STRONGARM ROB.,MARKET ST & 3RD ST,5/15/2012 02:27 PM
PURSESNATCH,KEARNY ST & MARKET ST,5/15/2012 02:27 PM
PETTY THEFT,1600 BLOCK HYDE ST,5/15/2012 02:22 PM
BURGLARY,600 BLOCK LARCH ST,5/15/2012 02:13 PM
PETTY THEFT,200 BLOCK SUTTER ST,5/15/2012 02:05 PM
STOLEN VEHICLE,GOLDEN GATE AV & HYDE ST,5/15/2012 02:00 PM
BURGLARY,1600 BLOCK SACRAMENTO ST,5/15/2012 01:52 PM
INTOX PERSON,00 BLOCK GOLDEN GATE AV,5/15/2012 01:50 PM
ASSAULT/BATTERY,700 BLOCK OFARRELL ST,5/15/2012 01:47 PM
ASSAULT/BATTERY,GOUGH ST & SACRAMENTO ST,5/15/2012 01:23 PM
AUTO BOOST/STRIP,300 BLOCK GOLDEN GATE AV,5/15/2012 01:22 PM
ROBBERY,TURK ST & JONES ST,5/15/2012 12:58 PM
